vacancy_id,technology,frequency,category,level,domain,fgos_competencies,prof_standards
122360412,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122360412,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121727303,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121727303,SQL,3,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121727303,Docker,3,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
121727303,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122222992,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122222992,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122222992,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122423904,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122423904,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122423904,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122423904,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122289752,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122289752,React,3,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122421525,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122421525,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122421525,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122300336,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122300336,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122285619,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
105384427,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
120813168,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
120223072,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
120223072,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
120223072,React,2,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
120223072,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
120223072,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121886120,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122394197,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122394197,JavaScript,2,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122394197,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122394197,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122188235,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122188235,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122188235,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122188235,Git,1,Инструмент,basic,development,ПК-1,06.001_A
87838855,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
87838855,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
87838855,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121697539,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121697539,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121035487,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121035487,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121035487,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122422221,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122422221,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122422221,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122289094,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122289094,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122305113,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122305113,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122305113,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122305113,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122399066,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122399066,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122200740,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122200740,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122369278,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122369278,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122369278,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122255766,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122255766,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121683346,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121683346,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122139682,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122139682,React,1,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122139682,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122139682,Git,3,Инструмент,basic,development,ПК-1,06.001_A
122369172,Python,6,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122369172,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121714611,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121468837,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121468837,Docker,4,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122239456,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122239456,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122239456,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
121773293,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121773293,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
121773293,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121773293,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122320752,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122320752,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122240714,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122240714,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122217521,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122217521,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121701104,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122223103,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122223103,React,4,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122223103,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122223103,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122426876,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122426876,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122207927,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122207927,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122207927,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122207927,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122230349,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122230349,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
121779216,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121779216,React,2,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
121701805,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122250247,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122250247,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122250247,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122250247,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121781947,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122368915,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122368915,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122364437,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122364437,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122223303,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122223303,React,1,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122223303,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122223303,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122223303,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122324164,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121321052,Python,6,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121321052,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122292685,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122292685,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122183818,Python,7,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122183818,SQL,7,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122388956,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122388956,React,2,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122388956,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122084620,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122084620,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122084620,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122084620,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121721195,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121721195,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
120751040,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
120751040,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
120751040,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121459879,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121459879,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122294494,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122294494,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122294494,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122256573,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122256573,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122256573,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122217438,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122217438,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122217438,React,6,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122217438,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122217438,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122337334,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122337334,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122337334,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122337334,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122302060,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122302060,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122065540,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122065540,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122065540,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122369166,Python,6,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122369166,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
121821575,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122143507,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122143507,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122143507,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122276097,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122276097,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122348515,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122348515,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122348515,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122348515,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122115319,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122115319,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122115319,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122115319,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122190790,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122190790,Git,3,Инструмент,basic,development,ПК-1,06.001_A
122343727,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122095026,Python,6,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122095026,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122095026,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122208077,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122208077,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122208077,Git,2,Инструмент,basic,development,ПК-1,06.001_A
121551230,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
120900522,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122362806,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122362806,SQL,4,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122344781,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122344781,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122370184,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122370184,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
121700601,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121700601,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122111649,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122278657,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122278657,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122386004,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122225475,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122225475,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122225475,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
121367017,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
